phrase ids,sentiment values,score
0,0.5,2
1,0.5,2
2,0.44444,2
3,0.5,2
4,0.42708,2
5,0.375,1
6,0.41667,2
7,0.54167,2
8,0.33333,1
9,0.45833,2
10,0.47222,2
11,0.59722,2
12,0.33333,1
13,0.93056,4
14,0.80556,4
15,0.81944,4
16,0.76389,3
17,0.5,2
18,0.5,2
19,0.69444,3
20,0.5,2
21,0.75,3
22,0.29167,1
23,0.31944,1
24,0.73611,3
25,0.77778,3
26,0.59722,2
27,0.58333,2
28,0.68056,3
29,0.48611,2
30,0.52778,2
31,0.23611,1
32,0.29167,1
33,0.56944,2
34,0.375,1
35,0.47222,2
36,0.29167,1
37,0.375,1
38,0.30556,1
39,0.52778,2
40,0.18056,0
41,0.61111,3
42,0.59722,2
43,0.72222,3
44,0.33333,1
45,0.52778,2
46,0.40278,2
47,0.22222,1
48,0.31944,1
49,0.29167,1
50,0.66667,3
51,0.61111,3
52,0.43056,2
53,0.77778,3
54,0.40278,2
55,0.55556,2
56,0.55556,2
57,0.76389,3
58,0.18056,0
59,0.43056,2
60,0.36111,1
61,0.47222,2
62,0.33333,1
63,0.31944,1
64,0.5,2
65,0.48611,2
66,0.33333,1
67,0.25,1
68,0.30556,1
69,0.5,2
70,0.5,2
71,0.69444,3
72,0.52778,2
73,0.66667,3
74,0.5,2
75,0.51389,2
76,0.44444,2
77,0.55556,2
78,0.5,2
79,0.34722,1
80,0.30556,1
81,0.5,2
82,0.26389,1
83,0.29167,1
84,0.5,2
85,0.5,2
86,0.72222,3
87,0.61111,3
88,0.76389,3
89,0.77778,3
90,0.5,2
91,0.5,2
92,0.5,2
93,0.44444,2
94,0.54167,2
95,0.5,2
96,0.45833,2
97,0.5,2
98,0.5,2
99,0.5,2
100,0.65278,3
101,0.54167,2
102,0.69444,3
103,0.77778,3
104,0.13889,0
105,0.055556,0
106,0.22222,1
107,0.19444,0
108,0.5,2
109,0.54167,2
110,0.66667,3
111,0.69444,3
112,0.77778,3
113,0.84722,4
114,0.58333,2
115,0.069444,0
116,0.54167,2
117,0.63889,3
118,0.38889,1
119,0.93056,4
120,0.77778,3
121,0.77778,3
122,0.88889,4
123,0.83333,4
124,0.875,4
125,0.52778,2
126,0.52778,2
127,0.5,2
128,0.55556,2
129,0.55556,2
130,0.77778,3
131,0.63889,3
132,0.30556,1
133,0.47222,2
134,0.45833,2
135,0.44444,2
136,0.55556,2
137,0.61111,3
138,0.55556,2
139,0.5,2
140,0.45833,2
141,0.72222,3
142,0.61111,3
143,0.72222,3
144,0.625,3
145,0.65278,3
146,0.63889,3
147,0.77778,3
148,0.75,3
149,0.30556,1
150,0.33333,1
151,0.19444,0
152,0.29167,1
153,0.66667,3
154,0.69444,3
155,0.31944,1
156,0.29167,1
157,0.19444,0
158,0.38889,1
159,0.25,1
160,0.16667,0
161,0.5,2
162,0.5,2
163,0.55556,2
164,0.875,4
165,0.63889,3
166,0.65278,3
167,0.70833,3
168,0.59722,2
169,0.56944,2
170,0.61111,3
171,0.77778,3
172,0.66667,3
173,0.69444,3
174,0.63889,3
175,0.80556,4
176,0.83333,4
177,0.77778,3
178,0.66667,3
179,0.69444,3
180,0.83333,4
181,0.93056,4
182,0.76389,3
183,0.77778,3
184,0.5,2
185,0.5,2
186,0.5,2
187,0.56944,2
188,0.52778,2
189,0.55556,2
190,0.5,2
191,0.52778,2
192,0.47222,2
193,0.625,3
194,0.54167,2
195,0.5,2
196,0.19444,0
197,0.44444,2
198,0.375,1
199,0.61111,3
200,0.70833,3
201,0.65278,3
202,0.77778,3
203,0.80556,4
204,0.5,2
205,0.27778,1
206,0.33333,1
207,0.34722,1
208,0.55556,2
209,0.66667,3
210,0.5,2
211,0.5,2
212,0.29167,1
213,0.20833,1
214,0.5,2
215,0.5,2
216,0.38889,1
217,0.29167,1
218,0.52778,2
219,0.29167,1
220,0.38889,1
221,0.18056,0
222,0.20833,1
223,0.41667,2
224,0.27778,1
225,0.43056,2
226,0.72222,3
227,0.94444,4
228,0.86111,4
